"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2025","3,023.63","3,042.60","3,047.66","2,999.46","","-0.68%"
"03/20/2025","3,044.41","3,046.31","3,057.51","3,025.56","","-0.09%"
"03/19/2025","3,047.18","3,032.20","3,052.30","3,022.73","","0.44%"
"03/18/2025","3,033.95","2,999.11","3,038.45","2,999.11","","1.08%"
"03/17/2025","3,001.47","2,985.80","3,002.23","2,982.13","","0.57%"
"03/14/2025","2,984.42","2,988.38","3,005.08","2,978.41","","-0.11%"
"03/13/2025","2,987.75","2,932.66","2,989.64","2,932.03","","1.90%"
"03/12/2025","2,932.06","2,916.85","2,940.83","2,906.19","","0.55%"
"03/11/2025","2,916.04","2,888.72","2,922.22","2,880.34","","0.92%"
"03/10/2025","2,889.40","2,912.17","2,918.50","2,880.30","","-0.73%"
"03/07/2025","2,910.79","2,910.48","2,930.56","2,896.71","","0.03%"
"03/06/2025","2,909.99","2,918.98","2,926.88","2,891.34","","-0.30%"
"03/05/2025","2,918.84","2,917.59","2,929.94","2,894.19","","0.05%"
"03/04/2025","2,917.49","2,894.05","2,928.15","2,881.81","","0.82%"
"03/03/2025","2,893.71","2,856.71","2,895.45","2,855.63","","1.23%"
"02/28/2025","2,858.60","2,877.66","2,885.34","2,832.63","","-0.61%"
"02/27/2025","2,876.19","2,916.80","2,920.96","2,867.86","","-1.37%"
"02/26/2025","2,916.19","2,915.42","2,930.22","2,890.99","","0.04%"
"02/25/2025","2,915.12","2,951.82","2,954.44","2,888.06","","-1.22%"
"02/24/2025","2,951.19","2,936.41","2,956.37","2,920.77","","0.52%"
